income,age,credit_score,loan_amount,tenure_months,dependents,monthly_debt
59166.12874625686,22,614.3701915314975,221644.1127041712,160,4,1855.6181696106341
65778.25767622537,30,552.7395510405878,173480.53414986288,205,4,3416.6021296723134
42236.23559654607,22,491.38212952359873,192817.6912238125,92,0,1532.4562063067933
69508.29361828277,40,635.2574227750072,82583.21654535002,25,1,2400.994220301663
62958.91257035781,33,587.4128471876732,234836.3076284796,132,2,2431.5593587537783
31449.366644139143,41,755.7114201855027,185413.23411219218,105,2,3049.871508492021
52701.50046255502,44,824.5170609811121,229765.7544180996,197,2,3255.760732185475
58192.470880421664,42,545.0093492089819,211930.73347758214,62,2,2047.8169292546331
42586.76569463383,66,694.5613756353998,98581.12340407645,193,0,1718.5149979818777
42372.923187284534,34,653.4702083441117,194195.61793441823,32,2,1701.7819996155863
58714.33246093945,43,747.0294507940337,195214.33675838757,85,0,1355.99888592023
58265.25389173759,46,435.4051123929253,199384.23844822217,98,2,1189.32113533289
52271.77021471745,30,509.13259780321914,254191.43751888775,140,3,1964.0062784658865
18839.005025909657,49,720.0161869677223,146413.4655729999,43,1,1945.5578753035163
30196.654102027136,34,717.834929481485,121253.54858436398,32,3,2669.18188829081
57252.99123007434,62,667.1952082966152,195979.42464076163,170,2,3210.227163511684
32678.076467095485,64,691.7676638147797,207613.47946882402,138,1,1182.9555768568869
50383.62260574881,38,721.4107778064146,186479.51022179317,348,0,1308.1522971131594
59592.46828825529,56,438.7315988822436,202690.97725560435,105,0,2013.2890720626858
23688.33753187878,21,581.358400187557,121194.77514896136,153,2,2132.45322199143
63813.66009648544,40,636.1606632929254,151693.0654018521,130,0,2426.2847996540877
41151.89113437095,42,684.0709457473658,135049.24821612146,224,3,2925.639571186097
63919.17241228371,50,739.0472186924884,161650.35697317,128,1,2031.1575395596708
53108.344748315416,21,760.7491954326745,184893.07926121034,105,1,1216.8484988045332
48148.368429407215,37,722.9462696592822,121457.10713257769,102,3,1462.980420254884
61075.35942266769,48,615.4134107114323,207777.99077069663,78,0,2479.019690724499
47352.79254862698,32,665.958895543217,167821.89933741602,60,1,2084.929270605362
63124.22078935492,30,677.7488393506067,194611.58788408493,111,2,3244.324588246749
58338.01868169509,27,611.5539014934341,249254.55841585874,213,3,2506.055040826956
53345.27944888108,36,524.8393239323101,192346.53387667052,255,1,186.00542448767783
54971.007711423794,23,663.5197401333746,112655.61645729773,193,1,2244.2462959770305
82883.00451758745,31,827.5182580551026,150010.17728849116,176,1,1093.2580498046032
53417.87373688911,28,588.1876528026439,78569.12960371407,45,4,2332.8724565570174
51727.6205162732,57,583.5483438963445,209448.67237368398,93,4,2395.35124875766
43204.43614723373,43,625.719887872136,171233.7897206928,180,2,3192.940603178531
56788.07194988523,56,535.2553005179695,193013.5794786426,128,3,3082.852152573289
39862.62965720636,18,664.1890464070449,250016.1970489654,151,4,2715.130505219221
18652.650701622446,51,593.4896655399518,161024.51426762503,352,3,889.4653723024
50402.43574490695,47,576.1254964134833,250049.90928243374,89,4,480.86239873912587
46854.60150850979,20,648.3218923868533,174384.38349365763,348,3,1645.061398844227
43827.26962731723,64,542.4500319326544,235490.4481382356,170,4,2382.7639062278763
40183.15046640755,42,611.1180667611012,221279.59333190206,292,0,2152.107209025049
42013.08144490701,41,629.0351363952959,209246.13984128225,228,0,1335.5593501515227
54572.1022949858,69,444.612900745489,181010.05788086815,20,2,1734.7791580577705
48793.56516463097,39,894.0215863697415,235130.69698068168,244,1,2297.282218514263
59363.11912187969,36,634.1623821666948,136057.32007720787,196,4,1168.7953021062178
62216.31432262622,54,821.1302736554105,168028.8860099472,348,2,2004.907104845898
37083.073551499125,51,635.6041570329917,196652.37837913324,328,2,3187.2713146760225
75340.74807561214,64,542.3042373893635,290719.06960997335,220,0,1674.9786440932528
10543.63553739585,56,614.6253470558161,190103.30748480244,298,2,2163.6465257829777
32214.83861409289,57,709.2285579030922,265575.671692455,115,2,2625.0955662146
38268.00483885996,62,605.7017166645227,239634.56735159314,151,3,2187.7288677479787
62386.04025294033,27,735.7620402261815,305162.91616634204,39,4,2253.697597980102
48485.148318641775,58,498.3041973326893,326573.48556563846,263,2,2757.916621936933
68845.86970139368,30,692.7651634982476,194835.9397985462,336,2,3278.9479271590058
66237.50183724645,66,735.8367131769504,187305.79571952118,156,4,2965.202541785986
11604.553107679167,50,496.89770339795797,97579.32507613183,212,3,1887.221201128864
39554.96057367218,29,645.275333063081,221492.87826870283,76,3,2393.2375165197323
78986.43563233585,18,541.902428501877,170540.63447038707,48,3,2045.8620511645402
53763.09972025881,21,533.7308524123707,187017.14074091395,56,4,573.5011006464658
47734.01382790246,47,556.0914354103516,167750.02942185212,147,1,2740.0745589686253
21155.887929583376,52,665.8170544383366,166917.3208758788,277,1,2044.8754914798542
35157.56248364347,62,450.6364540974437,237228.93347417223,67,2,824.2331427364297
56766.51751359215,62,585.0213973155418,225416.83648791385,276,3,1794.8174382512314
46873.87395715413,45,851.227596948041,155838.03763387486,266,4,1781.1868557348203
60415.81470369843,47,539.3284783345246,248372.1306186423,75,3,1519.9796783575002
66194.26690591004,22,645.8137713204105,210395.77405805374,357,4,1673.6098670743195
42827.5230961392,63,627.4236302710021,230425.90108422627,94,0,1309.9963414288948
39549.54278201622,59,544.0209590642118,178839.93139417362,13,3,2756.2618908839945
76932.75178243827,30,775.0588156730747,179802.94114253644,236,4,2706.48086021656
50884.1010397764,63,675.6646699584222,159934.52079896614,285,0,2012.0879483750368
50610.562607851476,35,568.1019612365978,225030.03615740765,113,3,2546.7924788814607
45087.45895045553,69,648.6507469239166,143022.39339025103,300,2,1916.7600220051781
43921.62551665983,52,761.4497935242401,228992.58546558788,146,1,118.16927120258879
48595.83492103835,50,692.2363491991847,223600.05307405777,183,3,997.3349126217777
49701.98095956942,42,704.6706883656104,277743.9917180231,178,1,1337.6133096817468
45194.75820852367,68,731.5678900861308,315490.1393058053,39,3,1831.1953317492876
35155.51713916375,29,636.6040551171549,205014.21982923133,297,3,602.908121544569
85291.65063916933,34,596.1298829051632,299504.93185432337,117,2,1483.7879565755845
55026.57888267812,62,617.7722267409861,254474.18240464805,53,4,1248.5873207483537
60231.36618730145,58,736.8310450452745,205273.04154244022,131,2,1782.6198213600474
86803.08345734583,41,638.9613047513494,270114.4351586806,235,0,1720.438440856064
