income,age,credit_score,loan_amount,tenure_months,dependents,monthly_debt
41518.46850975369,62,587.1930333852756,240982.36240975317,87,4,2440.5931120581095
27164.55491428777,61,780.9109547173473,275878.844787505,94,0,1210.0506067076358
46654.2633930258,41,778.484695904991,275893.96951988235,236,1,1822.403890724038
46018.86139639936,32,726.8832360414965,137454.6526855874,95,3,2874.0105558095156
33437.5140500307,36,586.1763707653516,381509.2421916536,156,0,2583.142352649236
43021.47678627503,19,705.3855920518471,225593.50436552693,357,3,1001.9159560882661
53489.25605287816,44,709.2244550957461,216625.01204592767,169,3,2507.242242516842
36444.745078924716,31,745.5120156124686,267315.49936457054,271,1,1880.1025697683535
42039.54430086926,25,652.9739997818914,307319.93846544856,336,0,1882.1327566335024
34378.76407045303,18,684.865414572726,252241.64492126423,340,1,2624.677331577562
28485.898711324284,48,574.3508684165296,229237.57722649045,220,0,1888.4067168140414
34990.55450329543,66,796.0287115530866,226516.8069033906,108,1,2863.0842655855745
26850.28885587664,29,682.015310096413,233398.91537122123,288,2,3275.683452201088
46055.19251997075,42,669.9640252176845,287489.9860034253,92,3,2835.5291382994506
29396.282653633418,49,809.3032703880879,270544.54143323837,359,3,2674.338235665961
29455.782572660035,26,649.9866612370135,238016.35033721532,143,2,1698.0820408340053
46986.91237423394,41,598.0672238026186,209319.10632257178,258,3,2231.209298606011
35192.518128187214,21,727.6633280707223,275787.99677910306,14,3,3020.622197452005
38876.6463136897,42,510.65825026818527,331890.2851316122,181,1,994.6329388376722
32370.62888054264,44,619.5355198988109,307512.99420618685,117,0,2586.4559530472607
45709.04817470663,57,718.1089834442378,123139.50532850898,85,1,3957.1364621702514
59667.13074153605,27,642.8573755556737,127658.76999229123,15,0,2068.252669470731
38610.36725502585,28,718.6747646494161,283543.5694912333,336,1,3943.3575327005233
62075.96052358223,59,705.7165467542995,290502.4034705225,157,2,4414.412901470448
46568.43852434947,68,935.8877956025683,287624.2671885857,157,1,2687.4884829547323
28542.916560372832,39,708.4998148543906,361143.5046367165,326,0,2011.666595313508
31166.766846920902,31,637.3381355690773,213349.6980415253,155,4,2716.08780289512
50794.797100169875,22,659.0837031061851,264634.4005320319,274,2,3301.69248231189
20531.940752872128,51,686.0952633563795,266292.961101655,125,0,3520.2315954577693
48886.63468403148,34,670.1132564947403,243790.61681809282,273,2,2568.222338944941
35747.771473966015,42,763.1589841890532,21016.968946138833,145,0,3467.2769667793514
42812.17021321022,38,637.7125882620851,330321.9915713671,227,4,1428.8227469302399
25013.77482381259,55,737.488033876402,248117.6986132014,82,0,2147.521975496849
21575.936149550012,26,647.5161017761004,239878.86170773738,247,4,2646.087212559803
41502.79951679619,25,519.2744201396008,240506.40600682065,356,0,2041.569789615379
47106.475163399846,54,761.4739379293185,217050.24188178376,146,3,2859.2596764199143
34579.227297958605,41,596.95550833067,166432.35770824872,181,4,3450.5968690413943
23487.710181966155,26,594.0798019616974,182584.78495005597,267,2,2091.7919032464333
25050.545459695964,51,532.330893803528,345736.7182060941,327,0,2522.9459772644477
31143.789062346263,24,718.6061034776887,247540.77879418375,247,3,3544.133879645969
40246.506959553,51,520.7561529939378,210984.0612532193,222,4,2238.3534837428074
41059.06378799533,36,661.59016005998,281779.72529686044,277,0,3476.276904384656
23380.598009714628,38,667.81457236747,318567.4964379075,134,4,3250.5458447942697
43285.10100613842,32,765.2687180676687,198309.56664144056,33,3,3168.4422998115074
45506.09087414174,23,693.6686503784031,248795.5242778269,115,3,3398.1689236051225
23585.98638034275,55,770.8256475533741,267456.63841997646,173,3,2816.561859690369
31888.780488196946,21,643.9377048652856,215576.85237791255,293,2,941.6094126491448
38964.503977772634,66,618.2728139858349,239072.19902061936,112,4,4326.890971075889
